Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Pool Play,Women's Advanced 4.0+,Group B,6,Single game,YU-BAE,No Idea,YU-BAE,21,15,,,,,,,,,Dianne Fonseca,sophia yu,,,nina miller,Kate B,,
Pool Play,Women's Advanced 4.0+,Group B,6,Single game,One hit wonders,Sorenson/Norris,Sorenson/Norris,15,21,,,,,,,,,Holly Yu,Amanda Jamieson,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group C,6,Single game,besties💂🏼⛑️,Give me my coffee back,besties💂🏼⛑️,21,12,,,,,,,,,Stef Ding,Tiff Ding,,,Courtney Coppage,Audrey Summers,,
Pool Play,Women's Advanced 4.0+,Group C,6,Single game,Women in Stem,We look like this -> 🥰,Women in Stem,21,8,,,,,,,,,Bel Belvedere,lauren viado,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group D,6,Single game,Sunnies😎,Carry Set,Sunnies😎,21,19,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Malia Wanderer,Abigale Lamontagne,,
Pool Play,Women's Advanced 4.0+,Group D,6,Single game,Marshmallow 🐾 🐧,Vogt/Forand,Marshmallow 🐾 🐧,21,15,,,,,,,,,Genevieve Tardy,Kim Aspirot,,,Kellie Forand,Mackenzie Vogt,,
Bracket Play,Women's Advanced 4.0+,Bracket A,Round of 16,Best of 3,Coastin’,We look like this -> 🥰,Coastin’,21,7,21,8,,,,,,,Joelle Nguyen,Maddy Morehouse,,,Emma Brune,Reese Gallagher,,
Bracket Play,Women's Advanced 4.0+,Bracket A,Round of 16,Best of 3,Almost a Jazz Band,No Idea,Almost a Jazz Band,21,10,21,13,,,,,,,Sarah Allen,Shachi Patel,,,nina miller,Kate B,,
Bracket Play,Women's Advanced 4.0+,Bracket A,Round of 16,Best of 3,Pierson/Phan,Vogt/Forand,Pierson/Phan,21,9,21,16,,,,,,,Katheleen Phan,Katie Pierson,,,Kellie Forand,Mackenzie Vogt,,
Bracket Play,Women's Advanced 4.0+,Bracket A,Round of 16,Best of 3,Dino Riot 🦖,One hit wonders,Dino Riot 🦖,21,11,21,14,,,,,,,Laurence Vallée,Rafaela Bastos,,,Holly Yu,Amanda Jamieson,,
