Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Tufts D1,KSU D1 Open A,Tufts D1 Open A,Tufts D1 Open A,13,21,,,,,Connar Kloehn,Parker McKinney,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Tufts D1,KSU D1 Open B,Tufts D1 Open B,KSU D1 Open B,21,14,,,,,Jake Kelley,Parker Smith,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Tufts D1,KSU D1 Open C,Tufts D1 Open C,KSU D1 Open C,21,14,,,,,Collin Ireland,Lane Morris,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Tufts D1,KSU D1 Coed,Tufts D1 Coed,KSU D1 Coed,21,10,,,,,Austin Niles,Leah Freeman,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Pool C,1,Single game,KSU D1 vs Tufts D1,KSU D1 Women's,Tufts D1 Women's,Tufts D1 Women's,11,21,,,,,Ava Holtz,Ellie Bennett,Abigail Bayog,Adele Beamer
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Tufts D1,VCU D1 Open A,Tufts D1 Open A,VCU D1 Open A,21,6,,,,,Brock Lodato,Sean Santos,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Tufts D1,VCU D1 Open B,Tufts D1 Open B,VCU D1 Open B,21,7,,,,,Owen Wallace,Ryland Holdren,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Tufts D1,VCU D1 Open C,Tufts D1 Open C,VCU D1 Open C,21,14,,,,,Sebastian Grant,Zachary Small,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Tufts D1,VCU D1 Coed,Tufts D1 Coed,Tufts D1 Coed,17,21,,,,,Jyneece Conway-Layman,Nathaniel Hughes,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Pool C,1,Single game,VCU D1 vs Tufts D1,VCU D1 Women's,Tufts D1 Women's,VCU D1 Women's,21,10,,,,,Bel Belvedere,Lauren Viado,Abigail Bayog,Adele Beamer
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open A,KSU D1 Open A,UNC Wilmington D1 Open A,21,15,,,,,Jake Dooley,Noah Kopetic,Connar Kloehn,Parker McKinney
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open B,KSU D1 Open B,UNC Wilmington D1 Open B,21,10,,,,,Polk Denmark,Sam Weber,Jake Kelley,Parker Smith
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open C,KSU D1 Open C,UNC Wilmington D1 Open C,21,15,,,,,Michael Creedon,Zack Glew,Collin Ireland,Lane Morris
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Coed,KSU D1 Coed,KSU D1 Coed,3,21,,,,,Claire Schnee,Jason Lyons,Austin Niles,Leah Freeman
Pool Play,Division 1 Women's,Pool C,1,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Women's,KSU D1 Women's,KSU D1 Women's,19,21,,,,,Julie Gibbs,Tristen Rogers,Ava Holtz,Ellie Bennett
Pool Play,Division 1 Open,Pool C,1,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open A,Tufts D1 Open A,Tufts D1 Open A,19,21,,,,,Joshua Aguilar,Noah Lerner-Morelle,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Pool C,1,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open B,Tufts D1 Open B,Tufts D1 Open B,13,21,,,,,Daniel Krupp,Michael Vilardo,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Pool C,1,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open C,Tufts D1 Open C,Siena/RPI D1 Open C,21,14,,,,,Andrew Higginbotham,Matthew Brady,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Pool C,1,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Coed,Tufts D1 Coed,Siena/RPI D1 Coed,21,10,,,,,Cole Bombard,Megan Dwire,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Pool C,1,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Women's,Tufts D1 Women's,Siena/RPI D1 Women's,21,18,,,,,Emily Stewart,Kelsey Higgins,Abigail Bayog,Adele Beamer
